TOT_POP,0-9,19-Oct,20-29,30-39,30-39 y/o % of total pop,40-49,50-59,60-69,60-69 y/o % of total pop,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_Upper 95% CI,CKD_number,Urban_rural_code
131349,13688,15778,15629,14788,11.25855545,16566,19127,17668,13.45118729,12167,5938,123234,3999,553,1230,0.936436517,98,2235,131349,1449,2084,0.7,9996,31875,27833,22022,34.8,24.0,12816,57939,54424,61454,62275,60266,2009,57939,111.5203747,23.12670262,2.231183558,69.59352542,48.23236805,196.014326,16,127135,32770,25.8,104790,48.8,46.6,51.1,51164,37.2,35.5,39.0,38982,8.6,7.8,9.5,10.1,8.6,11.8,10575,13065,3.5,3383,3
45313,4915,5739,4922,5299,11.69421579,5400,6548,6375,14.06881028,3729,2386,43991,445,168,175,0.386202635,15,519,45313,-202,863,0.1,2902,12488,10691,6262,38.6,19.4,5740,53409,48576,58242,23066,21934,1132,53409,17.65065591,8.862670668,0.665055945,34.32328837,21.53074166,76.05110336,0,45960,12200,26.5,35669,45.1,42.7,47.5,16090,33.2,31.4,35.1,11842,8.2,7.4,9.0,9.4,8.1,10.7,3341,4045,3.5,1160,2
4599,662,600,570,445,9.676016525,499,612,551,11.98086541,409,251,4514,6,15,14,0.304414003,0,50,4599,85,47,0.7,425,1386,801,342,46.9,11.6,764,39463,35407,43519,1977,1895,82,39463,2.565070778,0.499201659,0.091582861,2.860838378,2.053858253,8.156129355,0,4450,1136,25.5,3443,49.3,47.0,51.6,1697,37.2,35.1,39.0,1281,9.7,8.8,10.7,11.3,9.8,12.9,391,453,3.9,122,5
903,110,133,77,125,13.8427464,92,117,119,13.17829457,90,40,865,4,9,2,0.221483942,0,23,903,-34,0,0.0,51,157,210,149,27.7,26.3,70,67470,59965,74975,436,423,13,67470,0.311467782,0.183828914,0.016454308,0.341670718,0.302406901,1.06647827,0,889,255,28.7,683,47.3,45.3,49.3,323,35.0,33.5,36.3,239,8.9,8.0,9.8,8.3,7.1,9.6,57,86,3.6,23,6
102663,12743,14003,13849,11875,11.56697155,11714,13423,12866,12.53226576,7448,4742,85398,12990,305,809,0.788015156,24,3137,102663,-406,5863,-0.1,7192,26653,22997,12347,38.5,17.8,13901,50301,46615,53987,47855,45708,2147,50301,53.03776322,19.63776098,1.703812894,69.43476669,47.47841497,200.083842,62,104157,24080,23.1,78996,47.2,45.1,48.8,37247,36.7,35.2,37.9,28992,8.4,7.7,9.2,9.6,8.4,10.9,7559,10254,3.5,2575,4
830839,92020,106944,110616,105527,12.7012574,105957,124326,98505,11.85608764,54298,32646,713678,49477,3336,44707,5.380946248,589,19052,830839,4910,28276,6.3,54112,158830,148585,202881,28.1,35.9,72636,71767,69837,73697,450670,434714,15956,71767,754.0224785,260.729995,9.028046917,1106.597804,237.257073,2494.389176,169,818249,170081,20.8,656107,39.3,37.3,41.2,257886,31.3,29.8,32.6,205361,6.2,5.6,6.9,6.0,4.9,7.1,39053,61478,2.9,17828,3
54811,4909,5511,5568,5902,10.76791155,6264,8278,9423,17.19180456,5996,2960,52568,527,260,685,1.249749138,12,759,54811,214,987,0.6,2427,13350,12208,13358,32.3,32.3,6233,52148,49062,55234,29407,28291,1116,52148,45.04775837,22.76959423,1.392385259,32.96676863,45.78490351,91.89742708,6,54468,16940,31.1,45447,41.9,39.5,44.1,19053,30.7,29.2,32.3,13952,8.6,7.7,9.6,8.4,7.0,9.8,3806,5000,3.6,1505,6
51823,4645,5168,5313,5017,9.681029659,5374,7699,8415,16.23796384,6635,3557,43045,6797,214,764,1.474248886,22,981,51823,246,722,0.2,3579,12372,11291,11907,31.6,30.4,5300,59266,54849,63683,25525,23475,2050,59266,28.66992784,19.73362368,0.428805382,48.78090025,14.7080246,117.7671101,6,51559,17655,34.2,42920,45.9,43.8,47.9,19687,36.4,34.8,38.0,15623,8.8,7.9,9.8,8.6,7.1,10.0,3671,5992,3.8,1530,3
392680,51510,48083,55600,54504,13.88000407,47640,49288,46241,11.77574615,25788,14026,225615,147401,1768,9149,2.329886931,209,8538,392680,-936,8776,1.4,25441,69644,80333,90726,26.2,34.1,64312,49957,48141,51773,189210,182612,6598,49957,170.0322348,27.23121615,11.46577522,117.1333173,219.5435369,473.8752781,209,392848,79133,20.1,301671,47.0,45.4,48.6,141823,34.7,33.6,35.9,104680,7.6,7.0,8.3,7.6,6.6,8.7,22960,38634,3.4,9669,3
82299,9462,10170,9118,8905,10.82030158,9151,11223,11717,14.23711102,8405,4148,73911,5303,779,595,0.722973548,83,1628,82299,1238,1238,0.8,9317,19091,17861,10306,33.7,18.2,15718,43337,40135,46539,36389,35025,1364,43337,28.38702878,16.75408173,1.499637985,31.13971036,27.5612243,97.19833349,10,79687,22345,28.0,64575,54.5,52.5,56.5,35206,38.0,36.4,39.4,24538,10.2,9.3,11.2,10.4,8.9,11.8,6692,9719,4.2,2494,5
44413,4770,5291,5556,6292,14.16702317,6404,6439,4990,11.23544908,3076,1595,40024,2816,162,641,1.443271114,12,758,44413,366,4828,1.0,4071,13026,8966,5317,41.5,16.9,4215,61645,56444,66846,20584,19806,778,61645,22.94464586,8.495484044,0.737085825,30.03814707,20.5396184,86.55819208,13,43732,8744,20.0,35296,46.7,44.4,48.8,16500,33.6,31.7,35.3,11859,7.6,6.9,8.3,9.0,7.7,10.4,3174,4152,3.1,1009,2
6941,536,636,734,670,9.652787783,760,1288,1190,17.14450367,775,352,3040,3153,475,40,0.576285838,5,228,6941,-59,0,0.3,1162,2099,1441,720,38.7,13.3,851,56872,50866,62878,3692,3547,145,56872,3.649089864,1.712904621,0.078229707,3.461664525,3.038735173,9.576619938,0,7022,2156,30.7,5889,51.1,49.3,52.8,3007,38.7,37.3,39.9,2279,9.7,9.1,10.4,10.2,9.1,11.3,600,1043,4.6,254,2
6196,600,631,848,820,13.23434474,720,817,880,14.20271143,517,363,5662,326,50,38,0.613298903,0,120,6196,-111,978,-0.2,400,1544,1675,925,34.0,20.4,622,50261,44755,55767,2722,2646,76,50261,3.494354981,1.77058669,0.295807151,2.564371347,3.807187005,8.114479625,0,6331,1772,28.0,5059,49.0,46.8,51.3,2481,39.8,38.1,41.6,2013,8.2,7.4,9.2,8.2,7.0,9.5,413,643,3.5,164,6
14134,1731,1848,1427,1535,10.86033678,1678,2080,1898,13.42861186,1183,754,13785,60,50,50,0.353756898,0,189,14134,5,277,-0.1,813,3758,3464,1862,38.0,18.8,1347,60044,55151,64937,7291,7130,161,60044,8.607192635,3.819945535,0.528433263,5.72320093,9.677493905,18.30259953,0,14196,3779,26.6,10856,45.8,43.6,48.2,4975,34.2,32.4,36.0,3713,8.0,7.1,8.8,7.7,6.5,8.9,833,1217,3.4,342,3
2139,198,223,190,178,8.321645629,193,296,352,16.45628799,320,189,2043,35,35,4,0.187003273,0,22,2139,18,41,0.9,315,603,493,305,35.1,17.8,452,35881,31920,39842,841,807,34,35881,0.737795776,0.435448557,0.038976484,0.809339609,0.716332626,2.526242546,0,2123,708,33.3,1761,50.4,48.6,51.9,887,34.9,33.8,36.0,615,11.2,10.2,12.3,9.2,7.9,10.7,163,295,4.6,75,6
9017,832,998,722,777,8.617056671,904,1319,1660,18.40967062,1204,601,8698,19,97,17,0.188532771,0,186,9017,-186,123,-0.3,1177,3079,1802,842,44.6,12.2,1962,34367,30806,37928,3461,3282,179,34367,5.029189652,0.978756546,0.179561351,5.609084508,4.026884076,15.99126297,0,9328,3114,33.4,7324,58.1,55.4,60.4,4253,40.4,38.3,42.4,2959,13.5,12.1,14.9,14.9,12.7,17.2,1095,1309,5.2,346,6
9475,1033,1019,1229,1428,15.07124011,1145,1301,1161,12.25329815,737,422,8120,483,480,114,1.203166227,19,259,9475,-124,1301,-0.2,996,2681,2336,1053,37.9,14.9,1082,58942,52708,65176,4604,4434,170,58942,2.626053259,1.651821848,0.137391609,4.405899106,2.813405453,9.636147868,0,9858,2291,23.2,7591,51.4,49.4,53.3,3901,34.3,32.8,35.8,2604,8.3,7.6,9.0,8.8,7.7,10.0,671,889,3.4,242,6
550210,74052,69332,86769,82235,14.94611148,60477,65621,59675,10.84585885,31872,20177,370844,69551,5262,84087,15.28271024,519,19947,550210,4692,17442,4.4,35551,75283,97990,150759,20.9,41.9,78160,62937,60948,64926,288814,281072,7742,62937,282.4013991,177.6775469,12.45311725,315.2501729,343.7844809,920.0598359,135,537893,102817,19.1,421978,36.7,35.1,38.3,154874,30.3,29.1,31.4,127859,5.6,5.1,6.1,4.6,3.9,5.4,19505,39594,2.9,11261,1
295032,36181,38352,36512,39143,13.26737439,38833,40313,34992,11.86040836,20873,9833,235430,45620,1560,6428,2.178746712,440,5554,295032,4214,2340,2.0,20514,56407,60690,59163,28.7,30.1,36432,60627,57764,63490,147320,143095,4225,60627,123.081676,60.87349274,4.004071495,124.0101563,135.8482807,374.4096998,55,281870,59280,21.0,226738,41.2,39.3,42.9,93304,31.3,29.9,32.6,70969,6.7,6.1,7.4,7.2,6.0,8.4,16289,25111,3.2,6683,3
2171603,313371,319398,340133,302440,13.92703915,268000,262251,203132,9.35401176,108068,54810,1666544,204553,44935,168410,7.755100725,10339,76822,2171603,18400,37611,0.7,272865,352296,436563,270028,26.5,20.3,317514,63310,61644,64976,961030,922251,38779,63310,846.1979059,434.6275348,19.70838512,1227.684168,834.339936,3226.410868,410,2121220,330448,15.6,1599325,45.3,43.9,46.7,725284,34.7,33.7,35.7,554966,5.8,5.4,6.2,6.0,5.3,6.6,95615,204266,3.2,49429,2
1485941,151868,163691,170402,172925,11.63740687,177484,199269,182752,12.29873864,153797,113753,1112092,292762,8715,43551,2.930870068,1623,27198,1485941,15603,21625,8.6,124483,258521,295287,376461,24.5,35.7,179359,61735,60307,63163,731004,704955,26049,61735,862.2916811,425.0763117,15.13893971,808.9216863,577.6517087,2030.362038,401,1426772,414928,29.1,1202485,41.2,39.4,42.9,494930,29.3,28.2,30.4,352328,8.7,7.8,9.6,8.5,7.3,9.9,102154,163990,3.9,43465,2
163129,19981,21849,19982,20353,12.47662893,19958,23063,19725,12.09165752,11557,6661,147253,8617,897,2285,1.400731936,105,3972,163129,809,2694,0.5,10334,39833,35451,23850,36.4,21.8,17477,57675,54812,60538,85397,82631,2766,57675,85.33060747,51.63048923,3.73198645,85.639268,91.92471886,258.068266,33,161226,34912,21.7,125428,43.8,41.7,45.9,55000,34.6,33.0,36.2,43398,7.0,6.3,7.7,6.9,5.9,8.0,8680,13020,3.3,3784,4
3532,417,441,358,368,10.41902605,363,535,549,15.54360136,245,256,3440,17,27,4,0.113250283,1,43,3532,-44,143,1.7,213,915,880,496,36.5,19.8,401,47279,43776,50782,2026,1977,49,47279,1.913129747,1.504873351,0.170259394,1.636687075,2.306740173,5.025398234,0,3569,1046,29.3,2741,46.9,44.4,49.2,1287,38.1,36.1,40.0,1044,8.1,7.2,9.0,7.9,6.6,9.2,216,317,3.6,90,6
1249,160,153,136,147,11.76941553,138,185,190,15.21216974,82,58,1180,12,29,3,0.240192154,0,25,1249,8,29,0.8,68,300,306,238,32.9,26.1,131,55017,49280,60754,731,713,18,55017,0.669636775,0.571951918,0.080696186,0.479929951,0.765905909,1.35626222,0,1281,338,26.4,959,41.2,38.6,43.8,395,33.3,31.3,35.2,319,7.6,6.8,8.5,6.2,5.1,7.3,59,98,3.3,29,6
65263,6690,7032,6874,7004,10.73196145,7923,9994,9951,15.24753689,6043,3752,63724,600,95,200,0.306452354,8,636,65263,-613,650,0.1,5129,23407,12266,7916,48.0,16.2,5917,49436,45826,53046,32148,30533,1615,49436,35.68631591,28.88843708,1.014076377,52.8746557,36.71058401,136.4009164,12,66737,18721,28.1,52753,48.5,45.9,50.6,25573,37.1,35.0,39.0,19571,8.8,7.9,9.7,9.5,8.1,11.0,5030,6934,3.7,1789,2
11931,1428,1524,1502,1340,11.23124633,1443,1668,1529,12.81535496,996,501,9385,2293,57,29,0.243064286,10,157,11931,-99,102,-0.1,1536,3290,2474,898,40.1,11.0,2597,39687,35334,44040,4355,4100,255,39687,8.333439142,0.427458288,0.39549879,4.710031039,4.382446183,13.5068829,0,12047,2963,24.6,9247,56.0,54.0,57.8,5180,42.3,40.6,43.8,3911,10.0,9.1,10.9,11.5,10.2,13.0,1063,1423,4.1,357,4
