TOT_POP,0-9,19-Oct,20-29,30-39,30-39 y/o % of total pop,40-49,50-59,60-69,60-69 y/o % of total pop,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_Upper 95% CI,CKD_number,Urban_rural_code
26625,3221,3463,2922,2829,10.62535211,2831,3831,3860,14.49765258,2460,1208,25313,337,428,89,0.334272301,11,447,26625,167,303,1.5,2546,6396,5727,3406,35.4,18.8,4070,50374,47914,52834,12456,11696,760,50374,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0,26317,7218,27.4,20545,49.7,47.3,51.9,10213,38.6,36.8,40.4,7930,10.1,9.1,11.1,11.3,9.6,13.0,2314,2823,4.1,771,6
51266,5272,5751,5137,5341,10.4182109,5880,7885,8271,16.13349979,4801,2928,49662,593,109,231,0.450591035,22,649,51266,-557,1302,0.0,3913,18496,9051,6742,48.4,17.6,7537,45761,43018,48504,22421,21317,1104,45761,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8,52880,15253,28.8,41304,46.7,44.0,49.2,19282,33.2,31.3,35.1,13713,9.2,8.2,10.1,9.9,8.3,11.5,4097,5416,3.8,1454,5
37779,3915,5118,6202,4363,11.54874401,4451,5107,4349,11.51168639,2713,1561,35248,1435,135,394,1.042907435,18,549,37779,169,5022,0.6,2678,10860,7263,3984,43.8,16.1,3978,54718,50857,58579,16882,16245,637,54718,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6,37543,8058,21.5,30379,47.0,44.9,49.1,14283,33.7,32.1,35.4,10238,7.3,6.6,8.1,9.2,7.9,10.4,2792,3698,3.1,871,2
91984,11163,12646,11595,11357,12.34671247,11444,12774,10791,11.73138807,6736,3478,69216,1175,12403,1370,1.489389459,79,7741,91984,505,1216,0.5,4804,19984,21265,14803,32.8,24.3,8855,61849,58266,65432,44792,43309,1483,61849,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6,90098,19479,21.6,70506,46.9,44.9,48.7,33057,36.5,35.1,38.1,25735,7.8,7.1,8.5,8.1,7.1,9.3,5716,7913,3.2,2118,3
134487,16698,17666,17281,15993,11.89185572,15845,17982,16909,12.57296244,10074,6039,109628,15004,1047,4026,2.993597894,61,4721,134487,129,4326,2.3,8123,33106,30526,19318,36.4,21.2,22602,48413,45124,51702,62865,60219,2646,48413,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32,134327,31227,23.2,103686,48.0,46.0,49.8,49754,37.5,36.1,39.0,38882,8.4,7.7,9.1,9.6,8.4,11.0,10002,12987,3.6,3490,4
883305,72007,60660,151437,183382,20.76089233,120821,107395,93694,10.60720816,54600,39309,467444,49184,6570,317204,35.91103866,4015,38888,883305,4139,24235,7.2,79408,84630,131509,394004,12.3,57.1,87596,110601,107200,114002,575567,562022,13545,110601,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337,864263,179193,20.7,764613,23.9,22.6,25.1,182564,16.8,16.0,17.5,128455,4.6,4.2,5.0,3.8,3.2,4.3,28886,67258,2.5,17872,1
20299,2435,2532,2443,2283,11.24685945,2367,2949,2664,13.1237992,1826,800,14106,5724,73,136,0.669983743,14,246,20299,-237,89,0.1,2659,5932,4124,1470,41.8,10.4,4128,48708,45569,51847,9182,8778,404,48708,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0,20809,5131,24.7,15759,46.1,44.3,47.8,7266,32.9,31.6,34.3,5185,9.1,8.4,9.9,10.6,9.4,11.9,1669,2438,4.1,608,4
2801,361,402,277,350,12.49553731,287,331,377,13.45947876,232,184,2633,21,76,20,0.714030703,0,51,2801,44,96,7.2,238,607,592,372,33.6,20.6,276,53107,47916,58298,1557,1512,45,53107,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0,2739,732,26.7,2106,40.4,37.8,42.9,850,30.4,28.5,32.2,640,7.8,6.9,8.8,6.1,4.9,7.3,128,216,3.4,64,6
628195,64634,77403,70438,73278,11.66484929,78076,99861,84949,13.5227119,49074,30482,555198,27543,1787,32220,5.128980651,376,11071,628195,1167,8038,1.2,27363,128245,109517,180201,28.8,40.5,35350,88538,86842,90234,341069,328286,12783,88538,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90,626486,151809,24.2,499979,39.3,37.2,41.4,196424,29.8,28.3,31.3,148994,6.3,5.6,7.0,6.4,5.3,7.6,31984,53389,2.9,13632,2
4341,454,543,567,652,15.01958074,457,533,527,12.14005989,348,260,3927,112,147,54,1.243953006,0,101,4341,-68,573,0.0,677,1412,881,391,42.0,11.6,915,29515,26216,32814,1624,1534,90,29515,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0,4426,1149,26.0,3436,48.3,46.4,50.2,1660,35.7,34.2,37.3,1227,7.6,6.9,8.3,5.8,5.2,6.6,201,492,4.1,129,6
284081,36179,36896,35589,34363,12.09619792,34061,38394,34718,12.22116227,21439,12442,227365,38708,1553,8150,2.868900067,157,8148,284081,-659,4743,1.5,23963,62181,64375,43910,32.0,22.6,45006,53795,51486,56104,141196,133101,8095,53795,110.6573385,55.56278212,4.169438305,215.1831502,134.9827781,476.7875332,87,287512,65218,22.7,217591,42.7,40.8,44.6,93017,32.9,31.5,34.2,71587,7.8,7.0,8.5,8.6,7.4,9.9,18791,25818,3.5,7194,3
8758,1177,1243,1004,955,10.90431605,1121,1202,1027,11.72642156,719,310,8464,135,31,28,0.319707696,1,99,8758,-20,90,-0.2,875,2480,1809,636,42.8,11.0,1038,56769,51081,62457,4089,3919,170,56769,5.750595403,1.932545013,0.205798404,3.87096998,3.72397112,12.65366187,0,8700,1996,22.9,6520,51.0,48.6,53.2,3322,38.7,36.9,40.6,2523,9.8,8.9,10.7,11.9,10.3,13.6,775,914,3.6,217,4
1952,269,260,145,218,11.16803279,185,274,336,17.21311475,176,89,1854,8,54,5,0.256147541,1,30,1952,15,2,0.0,135,415,516,245,31.7,18.7,198,68243,60694,75792,873,837,36,68243,1.173649512,0.582972515,0.100158273,0.901424461,1.507510423,2.319049254,0,1822,608,33.4,1461,48.6,45.9,51.1,710,36.9,35.0,39.0,539,8.9,8.0,10.0,7.6,6.4,9.0,111,178,3.6,48,4
180454,19474,20336,21530,21389,11.85288217,22063,24637,26324,14.58765115,15745,8956,159858,13771,301,2044,1.132698638,59,4421,180454,-2856,3338,0.1,15894,50266,34460,33388,37.5,24.9,30248,41926,39988,43864,82263,78000,4263,41926,94.1326037,66.75220729,5.595993426,97.53017113,124.0112115,280.0994566,156,187827,49628,26.4,144442,52.2,50.2,54.3,75463,37.4,36.0,38.8,54021,10.5,9.6,11.6,12.1,10.4,14.0,17475,21166,3.9,5256,4
11964,1486,1569,1242,1251,10.45636911,1260,1725,1699,14.20093614,1024,708,11710,103,18,42,0.35105316,2,89,11964,-72,95,0.2,645,3627,2650,1412,43.5,16.9,1019,64190,58883,69497,6407,6234,173,64190,7.285726099,3.23346741,0.447302643,4.844515065,8.191703486,15.49259239,0,12140,3281,27.0,9149,42.4,40.0,44.6,3877,35.0,33.1,36.7,3202,8.0,7.2,8.9,7.5,6.4,8.7,685,1022,3.4,287,6
826,89,108,67,84,10.16949153,72,117,152,18.40193705,85,52,769,7,14,5,0.605326877,0,31,826,6,89,0.0,30,229,165,148,40.0,25.9,150,38782,34598,42966,369,352,17,38782,0.391887452,0.304023797,0.04354305,0.267478737,0.456424473,0.895742748,0,747,281,37.6,651,41.9,39.4,44.4,273,31.5,29.7,33.4,205,9.1,8.1,10.1,7.9,6.6,9.3,52,80,3.9,23,4
19102,2114,2266,2440,2421,12.67406554,2298,2625,2570,13.45408858,1455,913,18188,542,69,95,0.497330123,7,201,19102,114,1514,0.0,1434,6388,3732,2028,47.0,14.9,2167,52332,47744,56920,9323,8979,344,52332,9.856606172,2.412056825,0.376794676,7.510202965,9.485520507,24.85132156,4,19229,4691,24.4,15089,46.3,44.0,48.6,6984,34.7,32.9,36.4,5236,8.6,7.7,9.5,10.4,9.0,12.1,1575,1963,3.5,486,6
678701,78747,85588,95507,97313,14.33812533,81193,86148,80603,11.87606914,48038,25564,571760,23386,42255,19454,2.86635794,1017,20829,678701,15,11913,1.2,51916,107599,146410,157155,23.2,33.9,109959,51372,49762,52982,329380,314530,14850,51372,331.0218352,172.3127361,13.27974094,317.094302,367.6220968,937.3553727,138,674855,140933,20.9,531331,37.5,36.1,39.0,199236,27.3,26.3,28.3,145053,6.2,5.7,6.7,6.0,5.2,6.8,31913,60774,3.4,16872,3
580233,61097,66378,74304,86547,14.91590447,74852,81341,73792,12.71764963,40954,20968,532081,8173,6944,17749,3.058943562,678,14608,580233,4416,8757,0.8,22840,84351,121561,180236,20.6,44.1,39799,85550,82944,88156,334242,324124,10118,85550,294.9268123,228.9121062,9.066834645,254.9919901,277.4043903,742.56357,94,564029,124374,22.1,465718,29.9,28.2,31.7,139023,22.3,21.2,23.5,103855,5.1,4.6,5.7,5.1,4.2,6.0,23563,33878,2.7,11726,2
40571,5585,5999,5666,5255,12.95260161,4756,4875,4257,10.49271647,2782,1396,26715,12422,190,664,1.636637007,25,555,40571,133,1554,0.1,4705,8886,7942,4257,34.5,16.5,7636,45680,41914,49446,19337,18561,776,45680,18.57025802,12.83141193,0.559228954,19.1989085,13.15537905,49.32013698,20,40531,8091,20.0,30551,48.8,47.2,50.4,14902,36.8,35.5,38.0,11243,8.0,7.4,8.7,9.4,8.3,10.5,2860,4348,3.8,1092,5
26887,3826,3957,3295,3331,12.38888682,3147,3314,3008,11.18756276,1980,1029,18841,7134,225,225,0.836835646,37,425,26887,-9,326,-0.1,3362,6784,4696,2790,38.5,15.8,6615,37148,33818,40478,11945,11251,694,37148,12.30678385,8.50356591,0.370609275,12.72339979,8.718263697,32.6851821,8,27160,5815,21.4,19774,49.4,47.6,51.2,9774,36.2,34.9,37.6,7158,9.1,8.3,9.8,10.7,9.4,12.0,2122,3171,4.2,781,5
13033,1920,1863,1609,1389,10.65756157,1370,1634,1659,12.72922581,1033,556,10247,2173,125,125,0.959103813,22,341,13033,159,65,2.5,1290,2981,2524,1550,35.7,18.6,2431,43714,39025,48403,4990,4745,245,43714,4.495414842,2.653202921,0.237485047,4.931333857,4.364639137,15.39248205,0,12670,3038,24.0,9570,52.1,50.2,53.9,4991,38.9,37.4,40.4,3723,9.4,8.7,10.2,9.2,8.0,10.3,880,1479,4.1,366,6
3653,553,498,407,403,11.03202847,360,451,463,12.6745141,308,210,3266,225,50,11,0.301122365,2,99,3653,-30,99,1.1,464,771,675,467,32.4,19.6,723,39726,35423,44029,1466,1413,53,39726,1.260013076,0.743662263,0.066564327,1.382196162,1.22335815,4.314335681,0,3753,948,25.3,2688,47.1,45.0,48.9,1265,35.4,34.0,36.9,952,9.7,8.8,10.6,9.1,7.8,10.4,245,405,4.2,104,6
93224,10172,11310,15409,11251,12.06878057,10663,11044,11359,12.18463057,7716,4300,85022,4581,204,1234,1.323693469,25,2158,93224,-1262,3934,0.1,7599,21011,18606,16322,33.1,25.7,17242,39790,36807,42773,41287,39332,1955,39790,48.62966655,34.48473169,2.890935591,50.38487744,64.06519765,144.7016511,88,96100,22787,23.7,74829,54.0,51.6,56.3,40375,38.0,36.2,39.7,28435,9.8,8.8,10.9,12.0,10.2,13.9,8960,10298,3.7,2530,3
8732,854,1142,1377,1146,13.12414109,1321,1022,911,10.43289052,615,344,7325,1179,71,26,0.297755383,10,121,8732,109,1481,11.8,1467,2507,1203,969,40.8,15.8,1521,42689,37973,47405,2847,2756,91,42689,5.067180298,2.497923103,0.088962631,4.753556275,3.39451884,11.93124176,0,8684,1667,19.2,6961,49.3,47.2,51.3,3429,36.7,35.4,38.0,2555,9.9,9.0,10.9,11.6,10.1,13.2,810,959,3.9,254,6
23771,2878,3034,2326,2823,11.87581507,2739,3680,3448,14.5050692,1867,976,23007,193,56,211,0.887636195,11,293,23771,57,180,0.5,839,5800,5863,4022,35.1,24.3,1933,68017,64243,71791,13933,13570,363,68017,12.43429354,7.523544921,0.543821454,12.47927125,13.39518107,37.60545796,0,23576,5649,24.0,18326,43.7,41.2,46.1,8012,35.4,33.4,37.3,6487,7.1,6.3,7.8,6.7,5.6,7.8,1220,1793,3.2,538,3
127939,13850,16480,15923,14081,11.00602631,14123,18031,17866,13.96446744,10728,6857,119804,3532,912,871,0.680793191,67,2753,127939,-670,6071,2.6,9985,32222,28129,19522,35.9,21.7,22426,45689,43556,47822,54993,52227,2766,45689,82.56173747,58.22072249,1.086769362,135.6497661,42.42328592,320.1910599,26,130846,33458,25.6,101942,46.5,44.5,48.3,47370,34.4,33.1,35.6,35068,8.8,8.0,9.8,10.1,8.6,11.6,10253,12684,3.8,3571,5
